Price in USD,ISEVEN,ISODD
2.52,TRUE,FALSE
2.52,TRUE,FALSE
2.54,TRUE,FALSE
2.57,TRUE,FALSE
2.59,TRUE,FALSE
2.61,TRUE,FALSE
2.63,TRUE,FALSE
2.66,TRUE,FALSE
2.68,TRUE,FALSE
2.7,TRUE,FALSE
2.73,TRUE,FALSE
2.75,TRUE,FALSE
2.77,TRUE,FALSE
1.82,FALSE,TRUE
1.83,FALSE,TRUE
1.83,FALSE,TRUE
1.84,FALSE,TRUE
1.84,FALSE,TRUE
1.85,FALSE,TRUE
1.85,FALSE,TRUE
1.86,FALSE,TRUE
1.86,FALSE,TRUE
1.87,FALSE,TRUE
1.87,FALSE,TRUE
1.88,FALSE,TRUE
1.88,FALSE,TRUE
1.9,FALSE,TRUE
1.91,FALSE,TRUE
1.93,FALSE,TRUE
1.94,FALSE,TRUE
1.96,FALSE,TRUE
1.97,FALSE,TRUE
1.99,FALSE,TRUE
2,TRUE,FALSE
2.01,TRUE,FALSE
2.03,TRUE,FALSE
2.04,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.06,TRUE,FALSE
2.07,TRUE,FALSE
2.07,TRUE,FALSE
2.07,TRUE,FALSE
2.07,TRUE,FALSE
2.07,TRUE,FALSE
2.07,TRUE,FALSE
2.09,TRUE,FALSE
2.1,TRUE,FALSE
2.12,TRUE,FALSE
2.14,TRUE,FALSE
2.15,TRUE,FALSE
2.17,TRUE,FALSE
2.19,TRUE,FALSE
2.2,TRUE,FALSE
2.22,TRUE,FALSE
2.24,TRUE,FALSE
2.25,TRUE,FALSE
2.27,TRUE,FALSE
2.29,TRUE,FALSE
2.32,TRUE,FALSE
2.34,TRUE,FALSE
2.36,TRUE,FALSE
2.39,TRUE,FALSE
2.41,TRUE,FALSE
2.44,TRUE,FALSE
2.46,TRUE,FALSE
2.48,TRUE,FALSE
2.51,TRUE,FALSE
2.53,TRUE,FALSE
1,FALSE,TRUE
1,FALSE,TRUE
1.01,FALSE,TRUE
1.01,FALSE,TRUE
1.02,FALSE,TRUE
1.02,FALSE,TRUE
1.03,FALSE,TRUE
1.03,FALSE,TRUE
1.04,FALSE,TRUE
1.04,FALSE,TRUE
1.05,FALSE,TRUE
1.05,FALSE,TRUE
1.06,FALSE,TRUE
1.06,FALSE,TRUE
1.07,FALSE,TRUE
1.08,FALSE,TRUE
1.09,FALSE,TRUE
1.1,FALSE,TRUE
1.1,FALSE,TRUE
1.11,FALSE,TRUE
1.12,FALSE,TRUE
1.13,FALSE,TRUE
1.14,FALSE,TRUE
1.14,FALSE,TRUE
1.15,FALSE,TRUE
1.15,FALSE,TRUE
1.15,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.18,FALSE,TRUE
1.19,FALSE,TRUE
1.2,FALSE,TRUE
1.21,FALSE,TRUE
1.22,FALSE,TRUE
1.22,FALSE,TRUE
1.23,FALSE,TRUE
1.24,FALSE,TRUE
